Date,High,Low,Open,Close,Volume,Adj Close,maShort,maMedium,maLong,maDiffMediumLong,maDiffMediumLongChange,maDiffShortMedium,maDiffShortMediumChange,entryTrigger,exitTrigger,equity
2017-12-31,14377.400390625,12755.599609375,12897.7001953125,14156.400390625,12136299520.0,14156.400390625,14156.400390625,14156.400390625,14156.400390625,0.0,,0.0,,0.0,-0.0,1000.0
2018-01-01,14112.2001953125,13154.7001953125,14112.2001953125,13657.2001953125,10291200000.0,13657.2001953125,13906.80029296875,13906.80029296875,13906.80029296875,0.0,0.0,0.0,0.0,0.0,-1000.0,1000.0
2018-01-02,15444.599609375,13163.599609375,13625.0,14982.099609375,16846600192.0,14982.099609375,14265.2333984375,14265.2333984375,14265.2333984375,0.0,0.0,0.0,0.0,0.0,-0.0,1000.0
2018-01-03,15572.7998046875,14844.5,14978.2001953125,15201.0,16871900160.0,15201.0,14499.175048828125,14499.175048828125,14499.175048828125,0.0,0.0,0.0,0.0,0.0,-0.0,1000.0
2018-01-04,15739.7001953125,14522.2001953125,15270.7001953125,15599.2001953125,21783199744.0,15599.2001953125,14719.180078125,14719.180078125,14719.180078125,0.0,0.0,0.0,0.0,0.0,-0.0,1000.0
2018-01-05,17705.19921875,15202.7998046875,15477.2001953125,17429.5,23840899072.0,17429.5,15170.900065104166,15170.900065104166,15170.900065104166,0.0,0.0,0.0,0.0,0.0,-0.0,1000.0
2018-01-06,17712.400390625,16764.599609375,17462.099609375,17527.0,18314600448.0,17527.0,15507.485770089286,15507.485770089286,15507.485770089286,0.0,0.0,0.0,0.0,0.0,-0.0,1000.0
2018-01-07,17579.599609375,16087.7001953125,17527.30078125,16477.599609375,15866000384.0,16477.599609375,15628.75,15628.75,15628.75,0.0,0.0,0.0,0.0,0.0,-0.0,1000.0
2018-01-08,16537.900390625,14208.2001953125,16476.19921875,15170.099609375,18413899776.0,15170.099609375,15577.788845486111,15577.788845486111,15577.788845486111,0.0,0.0,0.0,0.0,0.0,-1000.0,1000.0
2018-01-09,15497.5,14424.0,15123.7001953125,14595.400390625,16659999744.0,14595.400390625,15479.55,15479.55,15479.55,0.0,0.0,0.0,0.0,0.0,-1000.0,1000.0
2018-01-10,14973.2998046875,13691.2001953125,14588.5,14973.2998046875,18500800512.0,14973.2998046875,15561.23994140625,15433.52725497159,15433.52725497159,0.0,0.0,127.71268643465919,127.71268643465919,0.0,-1000.0,1000.0
2018-01-11,15018.7998046875,13105.900390625,14968.2001953125,13405.7998046875,16534099968.0,13405.7998046875,15536.09990234375,15264.549967447916,15264.549967447916,0.0,0.0,271.54993489583467,143.83724846117548,0.0,-1000.0,1000.0
2018-01-12,14229.900390625,13158.099609375,13453.900390625,13980.599609375,12065699840.0,13980.599609375,15435.94990234375,15165.784555288461,15165.784555288461,0.0,0.0,270.1653470552883,-1.3845878405463736,0.0,-1000.0,1000.0
2018-01-13,14659.5,13952.400390625,13952.400390625,14360.2001953125,12763599872.0,14360.2001953125,15351.869921875,15108.24281529018,15108.24281529018,0.0,0.0,243.62710658482138,-26.538240470466917,0.0,-1000.0,1000.0
2018-01-14,14511.7998046875,13268.0,14370.7998046875,13772.0,11084099584.0,13772.0,15169.14990234375,15019.1599609375,15019.1599609375,0.0,0.0,149.98994140624927,-93.6371651785721,0.0,-1000.0,1000.0
2018-01-15,14445.5,13641.7001953125,13767.2998046875,13819.7998046875,12750799872.0,13819.7998046875,14808.1798828125,14944.199951171875,14944.199951171875,0.0,0.0,-136.02006835937573,-286.010009765625,0.0,-1000.0,1000.0
2018-01-16,13843.099609375,10194.900390625,13836.099609375,11490.5,18853799936.0,11490.5,14204.5298828125,14741.041130514706,14741.041130514706,0.0,0.0,-536.5112477022067,-400.49117934283095,0.0,-1000.0,1000.0
